Data,Curs,Nom,Castells,CCCC,observacions
10/28/2002,2002-2003,Actuació davant l'estand de la UdG a les Fires de Girona.,"p/3cam, 4/5ag aco, 3/5aco, p/4",,
10/24/2002,2002-2003,Actuació a la gespa de la Politècnica (setmana Xoriguera).,,,
10/23/2002,2002-2003,Actuació castellera a la Fac. de Ciències i inauguració de l'exposició fotogràfica.,"4/5 aco, 3/5 aco, p/4",,
10/3/2002,2002-2003,Actuació RESA,"4/5 aco, 3/5 aco, p/4",,
5/23/2002,2001-2002,Actuació a la residència d'estudiants Bisbe Cartanyà.,"4/5ag net, 4/5aco net, vano de 4",,
5/16/2002,2001-2002,Diada primavera Xoriguers,"p/4, 4/6 id, 4/6, 2/6 aco carr., 3/6 aco, vano de 4, amb un pilar de 3 dels Emboirats de la UV",,
5/15/2002,2001-2002,Vigilia Diada dels Xoriguers (dins la Festa Major de la UdG),"4/5 net, 2/5 aco net, 3/5 net id, 3/5aco net, p/4",,
5/10/2002,2001-2002,Diada primavera Arreplegats,"3/5net, 4/5net, 4/5ag net intent, 4/5ag net, p/4",,
4/27/2002,2001-2002,Fins l'1 de maig. Còrdova. Conmemoració del 50è aniversari de la carrera de Biologia.,"3/6 aco, 2/6 aco (el primer!!!), 4/5 net, p/4",,
4/11/2002,2001-2002,Actuació a la Sala Platea (Girona).,"p/4 ps carr, 4/5 aco net femení, 4/5 ag aco net, p/4",,
3/14/2002,2001-2002,i 15/03/2002. Diada hivern Marracos,"p/4ps, 4/5net, 2/5, 4/5a net, 3 p/3 sim. Tots els castells amb aixecador i anxaneta!",,
2/20/2002,2001-2002,"Exposició ""El Fet Casteller"" a Facultat d'Educació","4/5 ag aco net, p/4 ps",,
12/20/2001,2001-2002,Diada hivern Arreplegats,,,
12/14/2001,2001-2002,Diada hivern Ganàpies,"3/5 aco net, 2/5, 4/5ag aco net, p/4.",,
12/12/2001,2001-2002,Portes Obertes a la UdG,"4/5a net aco, 3/5 net aco, 3*p/4",,
11/29/2001,2001-2002,Diada hivern Xoriguers,"p/4ps, 4/6aco, 4/5ag net c, 3/6aco, vano de 4",,
10/25/2001,2001-2002,Cercavila i actuació a la Facultat de Dret de la UdG,"p/4ps, 4/5a aco, 3/5aco, 3p/3",,
10/22/2001,2001-2002,Inauguració exposició fotogràfica Facultat de Ciències,"p/4ps, 4/5aco, p/4",,
10/18/2001,2001-2002,Actuació RESA,"p/4ps, 4/5aco, 3/5aco, p/4c",,
5/17/2001,2000-2001,Diada primavera Ganàpies,"p/4, 4/5a aco, 2/5, 3/5, p/4",,
5/10/2001,2000-2001,Diada primavera Arreplegats,"xoriguers: p/4 xorinàpies: 4/5a, 2/5",,
5/9/2001,2000-2001,Festa Major UdG,"4/5a aco, 3/5aco, p/4ps",,
5/3/2001,2000-2001,Diada primavera Xoriguers,"p/4ps, 4/6aco, 3/6id, 3/6i, 3/5 2p/4",,
4/5/2001,2000-2001,i 6-Apr-2001. Estada a la Universitat de Lleida: bateig Marracos,"p/4, 3/5aco net, 2/5, p/4ps i 2p/3",,
3/29/2001,2000-2001,"Girona, sala de Festes Platea.","p/4ps, 3/5net id, p/4",,
3/28/2001,2000-2001,"Casa de Cultura Girona: exposició ""El Fet Casteller""",p4,,
3/22/2001,2000-2001,"Saló de l'Ensenyament (Bcn), amb Arreplegats i Ganàpies.","3/5net c, 3/6 de germanor i 2 p/3",,
12/21/2000,2000-2001,Diada hivern Arreplegats,"xorinàpies: 4/6aco, 3/5net, 4/5a. xoriguers: p/4",,
12/14/2000,2000-2001,Diada hivern Ganàpies,"4/5a, 4/5c, 2/5net id, p/4ps",,
12/13/2000,2000-2001,Portes obertes UdG,"Pilar de 4 a cada facultat, 4/5 net",,
11/30/2000,2000-2001,Diada hivern Xoriguers,"p/4, 3/6id, 3/6i, 4/5a net, 2/5, 3/5net i, p/4",,
11/16/2000,2000-2001,Correllengua universitari,"3/5net, 4/5net",,
11/5/2000,2000-2001,Actuació RESA,"p/4ps, 2/5id, 2/4, p/4",,
5/19/2000,1999-2000,Pl. Miquel Santaló (Girona),"p/4ps, 4/5net, 3/5net, p/4",,
5/17/2000,1999-2000,Diada primavera Ganàpies,"3/5aco, 4/5i, 4/5c, p/4",,
5/11/2000,1999-2000,Diada primavera Arreplegats,"4/5aco, 3/5aco, 2/5aco id",,
5/4/2000,1999-2000,Diada primavera Xoriguers,"p/4cam c, 4/6 i,  2/5id, 2/5, 4/6c, 3/5c, p/4ps",,
4/6/2000,1999-2000,"Santuari del Collell (Banyoles), trobada Interiuta","p/4, 2/4net, 3/5aco net, 4/5aco net",,
3/30/2000,1999-2000,Sala Platea (Girona),"p/4ps, 4/5net, p/4",,
2/25/2000,1999-2000,Universitat de Perpinyà,"p/4cam i, 2/5, 3/5aco, p/4",,
2/23/2000,1999-2000,"Programa SETI, Fac. empresarials UdG","p/4ps, 3/5aco, p/4",,
12/22/1999,1999-2000,Presentació del primer número de l'anxoveta,,,
12/22/1999,1999-2000,Actuació Facultat Empresarials UdG,"3/5 aco net, 4/5 net id, p/4",,
